I_n,method_1,method_2
1,0.8477738781138289,0.7380952380952381
2,0.45761130609430856,0.4087301587301587
3,0.3104527680286179,0.2857142857142857
4,0.2344773615985691,0.22023809523809523
5,0.18827613192007156,0.17936507936507937
6,0.15725286007066308,0.15136054421768708
7,0.1349944998536097,0.13095238095238093
8,0.11825027500731952,0.11541005291005291
9,0.10519859736074513,0.10317460317460317
10,0.09474007013196276,0.09329004329004328
