I_n,method_1,method_2
1,0.031922182936432564,0.03229166666666667
2,0.021167255953511543,0.021527777777777778
3,0.015824494030660163,0.016145833333333335
4,0.01263258954009755,0.012916666666666667
5,0.010511156898536766,0.010763888888888889
6,0.00899931318861516,0.009226190476190476
7,0.007867445027915448,0.008072916666666667
8,0.006988324581268274,0.007175925925925926
9,0.006286242392086999,0.006458333333333333
10,0.005706364118695018,0.005871212121212121
