I_n,method_1,method_2
1,0.847773878113829,0.738095238095238
2,0.457611306094309,0.408730158730159
3,0.310452768028618,0.285714285714286
4,0.234477361598569,0.220238095238095
5,0.188276131920072,0.179365079365079
6,0.157252860070663,0.151360544217687
7,0.13499449985361,0.130952380952381
8,0.11825027500732,0.115410052910053
9,0.105198597360745,0.103174603174603
10,0.0947400701319628,0.0932900432900433
