I_n,method_1,method_2
1,0.0319221829364326,0.0322916666666667
2,0.0211672559535115,0.0215277777777778
3,0.0158244940306602,0.0161458333333333
4,0.0126325895400975,0.0129166666666667
5,0.0105111568985368,0.0107638888888889
6,0.00899931318861516,0.00922619047619048
7,0.00786744502791545,0.00807291666666667
8,0.00698832458126827,0.00717592592592593
9,0.006286242392087,0.00645833333333333
10,0.00570636411869502,0.00587121212121212
